c_id,iter_id,exact_eigenvalue,min_eigenvalue_approx,energy_diff
1,1,-1.1373060352981366,-0.9563614736253014,0.18094456167283512
1,2,-1.1373060352981366,-0.9690155390393909,0.1682904962587457
1,3,-1.1373060352981366,-0.9736017067902238,0.16370432850791272
1,4,-1.1373060352981366,-0.9808173585121442,0.15648867678599232
1,5,-1.1373060352981366,-0.9978184151494245,0.13948762014871208
2,1,-1.1373060352981366,-0.9811714519790258,0.1561345833191108
2,2,-1.1373060352981366,-0.9850725300099044,0.1522335052882322
2,3,-1.1373060352981366,-0.9639181445000267,0.1733878907981099
2,4,-1.1373060352981366,-0.9556729736752516,0.18163306162288495
2,5,-1.1373060352981366,-0.9486563445178937,0.18864969078024285
3,1,-1.1373060352981366,-0.9708472730102804,0.16645876228785617
3,2,-1.1373060352981366,-0.9468023939057755,0.1905036413923611
3,3,-1.1373060352981366,-0.9415286393918045,0.19577739590633203
3,4,-1.1373060352981366,-0.9545466684325372,0.18275936686559935
3,5,-1.1373060352981366,-0.9569384341987015,0.18036760109943506
4,1,-1.1373060352981366,-0.9662980856289713,0.17100794966916522
4,2,-1.1373060352981366,-1.0054392443129214,0.13186679098521514
4,3,-1.1373060352981366,-1.0037220307559849,0.1335840045421517
4,4,-1.1373060352981366,-0.9530220372563554,0.1842839980417812
4,5,-1.1373060352981366,-0.9535915774543675,0.18371445784376905
5,1,-1.1373060352981366,-1.0021237753062098,0.1351822599919268
5,2,-1.1373060352981366,-0.9510278840768396,0.18627815122129698
5,3,-1.1373060352981366,-0.9699595226111262,0.1673465126870104
5,4,-1.1373060352981366,-0.9453011619488005,0.19200487334933602
5,5,-1.1373060352981366,-0.9815155694619484,0.15579046583618816
6,1,-1.1373060352981366,-0.8779424110278171,0.25936362427031945
6,2,-1.1373060352981366,-0.9694415003211347,0.16786453497700182
6,3,-1.1373060352981366,-0.9501340841579247,0.1871719511402119
6,4,-1.1373060352981366,-0.9451556113589259,0.19215042393921067
6,5,-1.1373060352981366,-0.9759544650217185,0.1613515702764181
7,1,-1.1373060352981366,-0.9660773539798939,0.17122868131824265
7,2,-1.1373060352981366,-0.9631627009678367,0.17414333433029983
7,3,-1.1373060352981366,-0.9648775271246768,0.17242850817345978
7,4,-1.1373060352981366,-1.0067668815060449,0.1305391537920917
7,5,-1.1373060352981366,-0.993584653600027,0.14372138169810955
8,1,-1.1373060352981366,-0.9685544666728287,0.16875156862530782
8,2,-1.1373060352981366,-0.9451867259187823,0.19211930937935429
8,3,-1.1373060352981366,-0.9943188158027703,0.1429872194953663
8,4,-1.1373060352981366,-0.9791738148504978,0.15813222044763875
8,5,-1.1373060352981366,-0.9742647533551401,0.1630412819429965
9,1,-1.1373060352981366,-0.6322612675125485,0.505044767785588
9,2,-1.1373060352981366,-0.8991862654435099,0.23811976985462668
9,3,-1.1373060352981366,-0.8330885604982194,0.3042174747999171
9,4,-1.1373060352981366,-0.8846575556567606,0.25264847964137593
9,5,-1.1373060352981366,-0.8968654840543697,0.24044055124376684
10,1,-1.1373060352981366,-0.25248506670091264,0.8848209685972239
10,2,-1.1373060352981366,-0.22117337127918468,0.9161326640189519
10,3,-1.1373060352981366,-0.32684967144378274,0.8104563638543538
10,4,-1.1373060352981366,-0.32357027381228587,0.8137357614858507
10,5,-1.1373060352981366,-0.3202858842991443,0.8170201509989923
11,1,-1.1373060352981366,-0.8422817150798609,0.2950243202182756
11,2,-1.1373060352981366,-0.8825555885745373,0.25475044672359926
11,3,-1.1373060352981366,-0.8049815748428644,0.3323244604552722
11,4,-1.1373060352981366,-0.9458447993194026,0.191461235978734
11,5,-1.1373060352981366,-0.8628250000479676,0.274481035250169
12,1,-1.1373060352981366,-0.8390919170856364,0.2982141182125002
12,2,-1.1373060352981366,-0.8381338674606742,0.29917216783746237
12,3,-1.1373060352981366,-0.9067598750877883,0.23054616021034824
12,4,-1.1373060352981366,-0.8522431011029912,0.2850629341951454
12,5,-1.1373060352981366,-0.852784954491618,0.2845210808065186
