c_id,iter_id,exact_eigenvalue,min_eigenvalue_approx,energy_diff

1,1,-1.1373060352981366,-1.1158505077933347,0.02145552750480184

1,2,-1.1373060352981366,-1.1187659031297426,0.018540132168394008

1,3,-1.1373060352981366,-1.116822306238804,0.02048372905933249

1,4,-1.1373060352981366,-1.1151437452875388,0.022162290010597774

1,5,-1.1373060352981366,-1.1073693577237844,0.029936677574352144

2,1,-1.1373060352981366,-1.1130234577701512,0.02428257752798535

2,2,-1.1373060352981366,-1.1161155437330084,0.0211904915651282

2,3,-1.1373060352981366,-1.1223880609719463,0.014917974326190242

2,4,-1.1373060352981366,-1.1148816784876716,0.02242435681046495

2,5,-1.1373060352981366,-1.113906910902396,0.023399124395740545

3,1,-1.1373060352981366,-1.1138584832991372,0.023447551998999394

3,2,-1.1373060352981366,-1.118805820839708,0.018500214458428532

3,3,-1.1373060352981366,-1.1201794281413344,0.017126607156802143

3,4,-1.1373060352981366,-1.1146535911181574,0.022652444179979137

3,5,-1.1373060352981366,-1.117215605201667,0.02009043009646949

4,1,-1.1373060352981366,-1.1169106515520284,0.020395383746108164

4,2,-1.1373060352981366,-1.1162922343594572,0.021013800938679328

4,3,-1.1373060352981366,-1.1165572702991304,0.02074876499900613

4,4,-1.1373060352981366,-1.121239571900028,0.016066463398108466

4,5,-1.1373060352981366,-1.1131032931900824,0.024202742108054176

5,1,-1.1373060352981366,-1.1151900231593908,0.02211601213874581

5,2,-1.1373060352981366,-1.1140836015288451,0.02322243376929145

5,3,-1.1373060352981366,-1.0158690977949711,0.12143693750316542

5,4,-1.1373060352981366,-1.1185407849000348,0.01876525039810173

5,5,-1.1373060352981366,-1.117591884377943,0.019714150920193463

6,1,-1.1373060352981366,-1.1143885551784838,0.022917480119652778

6,2,-1.1373060352981366,-1.1208861906471301,0.016419844651006432

6,3,-1.1373060352981366,-1.116115543733008,0.021190491565128644

6,4,-1.1373060352981366,-1.1152320906007633,0.022073944697373227

6,5,-1.1373060352981366,-1.1202193458512997,0.01708668944683689

7,1,-1.1373060352981366,-1.1045154476977113,0.0327905876004253

7,2,-1.1373060352981366,-1.1133768390230487,0.023929196275087827

7,3,-1.1373060352981366,-1.115311926020694,0.021994109277442497

7,4,-1.1373060352981366,-1.0450738855236386,0.092232149774498

7,5,-1.1373060352981366,-1.1156738171668856,0.021632218131250935

8,1,-1.1373060352981366,-1.1160530654829677,0.021252969815168887

8,2,-1.1373060352981366,-1.117970795310722,0.019335239987414488

8,3,-1.1373060352981366,-1.109977649679146,0.027328385618990536

8,4,-1.1373060352981366,-1.124243312549661,0.013062722748475641

8,5,-1.1373060352981366,-1.1153204359139879,0.02198559938414868

9,1,-1.1373060352981366,-1.103256999363691,0.03404903593444564

9,2,-1.1373060352981366,-1.1216812984661504,0.015624736831986175

9,3,-1.1373060352981366,-1.1185892125032935,0.018716822794843102

9,4,-1.1373060352981366,-0.5270775350890631,0.6102285002090735

9,5,-1.1373060352981366,-1.1169106515520284,0.020395383746108164

10,1,-1.1373060352981366,-0.5293861735908298,0.6079198617073067

10,2,-1.1373060352981366,-0.34423269097027753,0.793073344327859

10,3,-1.1373060352981366,-0.5282376845189114,0.6090683507792252

10,4,-1.1373060352981366,-0.34095870303788534,0.7963473322602512

10,5,-1.1373060352981366,-0.3394838752318021,0.7978221600663344

11,1,-1.1373060352981366,-1.1175689864545653,0.019737048843571303

11,2,-1.1373060352981366,-1.116855413015094,0.020450622283042508

11,3,-1.1373060352981366,-1.1188172998728076,0.018488735425328917

11,4,-1.1373060352981366,-1.1127584218304778,0.02454761346765877

11,5,-1.1373060352981366,-1.1139952562156203,0.02331077908251622

12,1,-1.1373060352981366,-1.1185008671900691,0.018805168108067427

12,2,-1.1373060352981366,-1.11439491534037,0.022911119957766513

12,3,-1.1373060352981366,-1.1145006779663058,0.022805357331830756

12,4,-1.1373060352981366,-1.113553529649498,0.02375250564863851

12,5,-1.1373060352981366,-1.113244276537045,0.024061758761091623

